une abeille	a bee
un âne	a donkey
un agneau	a lamb
un animal	an animal
le taureau	the bull
le canard	the duck
la chèvre	the goat
le poisson rouge	the goldfish
le hamster	the hamster
la poule	the hen
la souris	the mouse
le cochon	the pig
le coq	the rooster
la brebis	the sheep (f)
le mouton	the sheep (m)
la dinde	the turkey
la tortue	the turtle
un rire	a laugh
un amour	a love
gentille	kind (f)
gentil	kind (m)
la peur	the fear
le plaisir	the pleasure
la surprise	the surprise
la fatigue	the tiredness
fatiguante	tiring (f)
avoir peur de	to be afraid of
s'intéresser à	to be interested in
s'amuser	to enjoy oneself
se sentir ...	to feel ...
détester	to hate
espérer que ...	to hope that ...
préférer	to prefer
crier	to shout
malheureux	unhappy (m)
une machine à laver	a washing machine
le lave-vaisselle	the dishwasher
le sèche-linge	the dryer
débarrasser la table	to clear the table
faire la vaisselle	to do the dishes
faire la lessive	to do the laundry
faire les courses	to do the shopping
mettre la table	to lay the table
faire le lit	to make the bed
trier les déchets	to sort waste
sortir la poubelle	to take out the bin
ranger	to tidy
passer l'aspirateur	to vacuum
quatre-vingts	eighty
quatre-vingt-cinq	eighty-five
quatre-vingt-neuf	eighty-nine
quatre-vingt-sept	eighty-seven
quatre-vingt-trois	eighty-three
quatre-vingt-dix	ninety
quatre-vingt-quinze	ninety-five
quatre-vingt-dix-neuf	ninety-nine
quatre-vingt-dix-sept	ninety-seven
quatre-vingt-treize	ninety-three
soixante-dix	seventy
soixante-quinze	seventy-five
soixante-dix-neuf	seventy-nine
soixante-dix-sept	seventy-seven
soixante-treize	seventy-three
un ordinateur	a computer
un casque audio	a headphones (big)
un ordinateur portable	a laptop
une imprimante	a printer
un écran	a screen
un haut-parleur	a speaker
une clé USB	a USB key
un écouteur	an earphone (one small)
le livre	the book
la touche	the key (on a keyboard)
le clavier	the keyboard
le cahier	the notebook
le stylo	the pen
le crayon	the pencil
la gomme	the rubber
la règle	the ruler
imprimer	to print
