aanbevelen	to recommend
aannemen	to hire (staff)
aanzetten	to turn on
achterlaten	to leave smth/smb in the other place
af	off
afsluiten	to lock
afwassen	to do the dishes
allemaal	everyone (2)
allerlei	all kinds of
alsof	as if
ander	other
bedenken	to think up
bedoelen	to mean
bedragen	to amount to
beetje	little / few
behandelen	to treat
beklimmen	to climb
bepaald	certain
bepalen	to determine
beroemd	famous
bespreken	discuss
betrekken	to involve
bewegen	to move
bewijzen	to prove
bewust	conscious, aware
bijles geven	to tutor
bijten	to bite
binnenkort	soon (2)
blij	happy
blijkbaar	apparently
borrelen	to have a drink
bovendien	also (2)
bovenstaand	above (2)
bowlen	to bowl
breed	wide
breken	to break
bruto	gross
Chinees	Chinese
daarbij	with it (2), besides
dagelijks	daily
dan	then
dank je wel	thank you (informal)
dat klopt	that's right
de aanleiding	the reason, occasion
de aanval	the attack
de aardrijkskunde	the geography
de accessoires	the accessories
de autotechnologie	the automotive engineering
de band	the bond
de band hebben met	the to have a connection with
de barbecue	the barbecue
de begroeting	the greeting
de behandeling	the treatment
de belasting	the tax
de bes	the berry
de bij	the bee
de bijdrage	the contribution
de boer	the farmer
de bruiloft	the wedding
de buurt	the neighbourhood
de dame	the lady
de das	the scarf
de definitie	the definition
de doos	the box
de eetkamer	the dining room
de eigenaar	the owner
de eigenschap	the characteristic
de framboos	the raspberry
de gang	the corridor
de gast	the guest
de gedachte	the thought
de gelegenheid	the opportunity
de geschiedenis	the history
de geur	the smell
de gewoonte	the custom
de giraffe	the giraffe
de goudvis	the goldfish
de halte	the stopping place
de handdoek	the towel
de haven	the port
de helft	the half
de heuvel	the hill
de hobby	the hobby
de hoeveelheid	the quantity (with units)
de huishoudelijke taken	the household chores
de identiteitskaart	the identity card
de indruk	the impression
de inhoud	the content
de inwoner	the resident
de jas	the coat
de kaars	the candle
de kerel	the guy, dude
de kerstman	Santa Claus
de keuze	the choice
de kipfilet	the chicken fillet
de klomp	the wooden shoe
de koelkast	the refrigerator
de kont	the ass
de kous	the sock (long)
de kruk	the stool
de kwestie	the issue, question (2)
de laars	the boot
de leeftijd	the age
de lengte	the height
de loop	the course (direction)
de maaltijd	the meal
de maan	the moon
de maat	the size (2)
