aan de linkerkant	on the left side
aandoen	to put clothes around the body (sweater, suit)
aanhebben	to have smth on you
aanvragen	to apply for
aanwezig	present (adj.)
actief	active
afgelopen	last (2)
afkoelen	to cool
afrekenen	to pay (2)
algemeen	general
allebei	both (2)
beantwoorden	to answer (to smth., e.g. jouw vraag)
bedankt	thanks
bekijken	to look at
beloven	to promise
beneden	down, downstairs
bereiken	to reach
beschikbaar	available
besluiten	to decide (2)
best klein	quite small
bestaan	to exist
betekenen	to mean (2)
betreffen	to concern
bevriend zijn	to be friends
binnen	within
boos	angry
chagrijnig	grumpy (1)
daardoor	thereby, thus
daarom	therefore
daarover	about it
daarvan	thereof, from that
daarvoor	before that (adv.)
de aandacht	the attention
de advocaat	the lawyer
de afstand	the distance
de agenda	the diary
de allochtoon	the immigrant
de arm	the arm
de baan	the job
de baard	the beard
de bedoeling	the intention
de behoefte	the need
de benzine	the petrol
de bewoner	the occupant
de bezem	the broom
de bijbaan	the job on the side
de bliksem	the lightning
de boekhouder	the accountant
de boodschap	the purchase, shopping
de boodschappen	the groceries
de boom	the tree
de borg	the deposit
de borst	the chest
de buren	the neighbours
de caissière	the cashier
de champignon	the champignon
de colbert	the suit jacket
de collega	the colleague
de cursus	the course
de diepvriezer	the freezer
de dierenartsenpraktijk	the veterinary clinic
de dierentuin	the zoo
de dolfijn	the dolphin
de donder	the thunder
de drank	the drink
de duif	the pigeon
de echtgenote	the wife
de eekhoorn	the squirrel
de eerste hulp	the first aid
de eettafel	the dining table
de eeuw	the century
de erwt	the pea
de ezel	the donkey
de familie	the family
de fauteuil	the armchair
de feestdagenkalender	the holiday calendar
de fietsenwinkel	the bicycle shop
de friet	the French fries
de functie	the job position
de geit	the goat
de graanproducten	the cereals
de gracht	the canal (urban)
de grap	the joke
de grens	the border
de haai	the shark
de haas	the hare
de hamster	the hamster
de handschoen	the glove
de hei	the moor
de herenfiets	the men's bicycle
de hoer	the prostitute
de huurwoning	the rental house
de invloed	the influence
de keukenkast	the kitchen cupboard
de kledingkast	the wardrobe
de kleren	the clothes
de koe	the cow
de koffie	the coffee
de kok	the cook
de kookles	the cooking class
de kool	the cabbage
